country,iso3,death,imprisonment,persecution
Mauritius,MUS,false,true,true
Mexico,MEX,false,false,false
Micronesia,FSM,false,false,false
Moldova,MDA,false,false,false
Monaco,MCO,false,false,false
Mongolia,MNG,false,false,false
Montenegro,MNE,false,false,false
Morocco,MAR,false,true,true
Mozambique,MOZ,false,true,true
Namibia,NAM,false,false,false
Nauru,NRU,false,true,true
Nepal,NPL,false,false,false
Netherlands,NLD,false,false,false
New Zealand,NZL,false,false,false
Nicaragua,NIC,false,false,false
Niger,NER,false,false,false
Nigerian,NGA,true,true,true
Norway,NOR,false,false,false
Oman,OMN,false,true,true
Pakistan,PAK,false,true,true
Palau,PLW,false,true,true
Panama,PAN,false,false,false
Papua New Guinea,PNG,false,true,true
Paraguay,PRY,false,false,false
Peru,PER,false,false,false
Philippines,PHL,false,false,false
Poland,POL,false,false,false
Portugal,PRT,false,false,false
Qatar,QAT,false,true,true
Romania,ROU,false,false,false
Russia,RUS,false,false,true
Rwanda,RWA,false,false,false
St Kitts and Nevis,KNA,false,true,true
St Lucia,LCA,false,true,true
St Vincent,VCT,false,true,true
Samoa,WSM,false,true,true
San Marino,SMR,false,false,false
Sao Tome and Principe,STP,false,true,true
Saudi Arabia,SAU,true,true,true
Senegal,SEN,false,true,true
Serbia,SRB,false,false,false
Seychelles,SYC,false,true,true
Sierra Leone,SLE,false,true,true
Singapore,SGP,false,true,true
Slovakia,SVK,false,false,false
Slovenia,SVN,false,false,false
Solomon Islands,SLB,false,true,true
Somalia,SOM,true,true,true
South Africa,ZAF,false,false,false
South Sudan,SSD,false,true,true
Spain,ESP,false,false,false
Sri Lanka,LKA,false,true,true
Sudan,SDN,true,true,true
Suriname,SUR,false,false,false
Swaziland,SWZ,false,false,false
Sweden,SWE,false,false,false
Switzerland,CHE,false,false,false
Syria,SYR,false,true,true
Tajikistan,TJK,false,false,false
Tanzania,TZA,false,true,true
Thailand,THA,false,false,false
Togo,TGO,false,true,true
Tonga,TON,false,true,true
Trinidad and Tobago,TTO,false,true,true
Tunisia,TUN,false,true,true
Turkey,TUR,false,false,false
Turkmenistan,TKM,false,true,true
Tuvalu,TUV,false,true,true
Uganda,UGA,false,true,true
Ukraine,UKR,false,false,false
United Arab Emirates,ARE,false,true,true
United Kingdom,GBR,false,false,false
United States,USA,false,false,false
Uruguay,URY,false,false,false
Uzbekistan,UZB,false,true,true
Vanuatu,VUT,false,false,false
Vatican City,VAT,false,false,false
Venezuela,VEN,false,false,false
Vietnam,VNM,false,false,false
Yemen,YEM,true,true,true
Zambia,ZMB,false,true,true
Zimbabwe,ZWE,false,true,true
